EarthquakeNo,AreaDesc,CountyName,StationName,StationID,SeismicIntensity,EpicenterDistance,EWComponent_pga,NSComponent_pga,VComponent_pga,EWComponent_pgv,NSComponent_pgv,VComponent_pgv,WaveImageURI
114115,南投縣地區,南投縣,玉山,YUS,2級,46.54,3.66,2.3,1.35,0.16,0.1,0.23,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/2-YUS.gif
114115,南投縣地區,南投縣,信義鄉,WHY,1級,55.97,1.63,2.11,1.07,0.09,0.12,0.04,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/1-WHY.gif
114115,南投縣地區,南投縣,竹山,WJS,1級,64.15,0.95,1.1,0.6,0.05,0.04,0.03,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/1-WJS.gif
114115,南投縣地區,南投縣,日月潭,SML,1級,76.73,0.75,0.84,0.44,0.06,0.08,0.03,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/1-SML.gif
114115,南投縣地區,南投縣,國姓,WCS,1級,94.69,0.65,0.94,0.27,0.02,0.04,0.01,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/1-WCS.gif
114115,南投縣地區,南投縣,奧萬大,OWD,1級,98.33,,,,,,,
114115,南投縣地區,南投縣,南投市,WNT1,1級,72.48,0.82,0.75,0.55,0.04,0.04,0.02,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/1-WNT1.gif
114115,高雄市地區,高雄市,甲仙,SGS,4級,20.07,59.36,32.6,14.69,2.43,1.21,0.5,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/4-SGS.gif
114115,高雄市地區,高雄市,桃源,STYH,3級,22.84,17.5,12.09,7.4,0.49,0.45,0.27,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/3-STYH.gif
114115,高雄市地區,高雄市,六龜,SLG,3級,30.54,9.04,8.18,3.97,0.31,0.4,0.22,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/3-SLG.gif
114115,高雄市地區,高雄市,旗山,SCS,3級,42.48,10.26,9.9,11.78,0.47,0.51,0.43,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/3-SCS.gif
114115,高雄市地區,高雄市,路竹,D009,3級,54.08,8.25,6.65,2.78,0.27,0.33,0.1,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/3-D009.gif
114115,高雄市地區,高雄市,高雄市,D106,3級,75.74,6.56,10.56,3.67,0.41,0.45,0.14,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/3-D106.gif
114115,高雄市地區,高雄市,楠梓,KAUH,2級,64.73,3.95,2.51,1.98,0.19,0.16,0.08,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/2-KAUH.gif
114115,高雄市地區,高雄市,壽山,WSS,2級,75.87,5.15,4.1,2.44,0.39,0.21,0.14,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/2-WSS.gif
114115,高雄市地區,高雄市,大寮,D090,2級,76.27,4.64,4.01,2.56,0.37,0.38,0.1,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/2-D090.gif
114115,臺南市地區,臺南市,曾文,SNS,4級,9.27,77.68,156.02,32.15,3.44,4.25,1.14,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/4-SNS.gif
114115,臺南市地區,臺南市,楠西,CHN1,4級,9.73,64.91,169.67,84.42,2.1,5.66,2.82,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/4-CHN1.gif
114115,臺南市地區,臺南市,白河,C015,4級,19.43,139.84,157.42,84.4,5.58,2.75,1.56,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/4-C015.gif
114115,臺南市地區,臺南市,善化,SSH,4級,32.56,22.58,33.78,10.01,1.9,1.67,0.48,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/4-SSH.gif
114115,臺南市地區,臺南市,新化,SHH,4級,35.39,54.45,36.74,16.0,2.17,1.63,0.71,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/4-SHH.gif
114115,臺南市地區,臺南市,佳里,SCL,3級,39.5,23.55,13.0,8.08,1.28,0.58,0.25,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/3-SCL.gif
114115,臺南市地區,臺南市,永康,TAI1,3級,42.66,12.41,12.22,6.67,0.92,0.97,0.29,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/3-TAI1.gif
114115,臺南市地區,臺南市,臺南市,TAI,3級,48.26,5.2,7.19,5.08,0.44,0.55,0.22,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/3-TAI.gif
114115,雲林縣地區,雲林縣,草嶺,CHN5,3級,38.71,9.29,4.35,2.27,0.4,0.27,0.15,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/3-CHN5.gif
114115,雲林縣地區,雲林縣,水林,WSL,3級,45.95,9.16,9.17,5.31,0.34,0.27,0.11,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/3-WSL.gif
114115,雲林縣地區,雲林縣,四湖,WSF,3級,54.66,,,,,,,
114115,雲林縣地區,雲林縣,土庫,WTK,3級,51.08,,,,,,,
114115,雲林縣地區,雲林縣,古坑,C168,2級,41.42,3.91,2.78,1.62,0.1,0.11,0.05,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/2-C168.gif
114115,雲林縣地區,雲林縣,斗六市,WDL,2級,50.52,2.5,4.5,1.9,0.16,0.17,0.07,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/2-WDL.gif
114115,雲林縣地區,雲林縣,麥寮,WML,2級,70.25,4.02,4.14,4.26,0.18,0.13,0.09,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/2-WML.gif
114115,雲林縣地區,雲林縣,西螺,C092,1級,59.3,2.89,2.15,2.14,0.12,0.09,0.06,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/1-C092.gif
114115,花蓮縣地區,花蓮縣,富里,FULB,2級,73.77,3.15,2.25,1.53,0.14,0.14,0.08,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/2-FULB.gif
114115,花蓮縣地區,花蓮縣,西寶,ETLH,1級,139.78,0.61,0.91,0.35,0.03,0.04,0.02,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/1-ETLH.gif
114115,臺東縣地區,臺東縣,海端,EHD,2級,65.66,2.35,5.15,2.49,0.16,0.21,0.15,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/2-EHD.gif
114115,臺東縣地區,臺東縣,池上,ECS,2級,68.34,4.51,3.03,1.83,0.22,0.19,0.1,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/2-ECS.gif
114115,臺東縣地區,臺東縣,鹿野,LONT,2級,69.08,2.88,1.81,1.59,0.16,0.12,0.07,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/2-LONT.gif
114115,臺東縣地區,臺東縣,卑南,TWG,2級,71.31,2.64,1.58,1.22,0.17,0.14,0.07,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/2-TWG.gif
114115,臺東縣地區,臺東縣,利稻,ELD,2級,46.67,2.64,3.84,3.74,0.1,0.11,0.15,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025115/2-ELD.gif
